Date_of_Visit,District,Chiefdom,Section,Name_of_community,f_q1,f_q2,f_q3,f_q4,f_q5,f_q6
2015-01-10,Bo,Komboya,NA,Mano,NA,NA,NA,they happy now that the medical team are really working hard to see the outbreak end,"no strnger is allow ,and hand washing is frequent","strangers are not allow,no body contact,no visiting of finural homes"
2015-01-06,Bo,Badjia,NA,Normiyama,1,Yes because the community members were allowed to offer prayers on the decease person.,NA,"They want government to reopen schools, when will the Ebola end? Women should be train to be part of the burial team, The community members need their social gathering.",Frequent and regular hand washing,Report all sick people to the health center
2015-01-07,Bo,Badjia,NA,Saaso,0,NA,Though there has been no death conducted by the burial team in this community but the delay of the burial team is of great concern.,Government should train community people to carry out their burial process.,Frequent and regular hand washing,Refering all sick people to the health centre
2015-01-08,Bo,Badjia,NA,Ngiehun,NA,NA,NA,"The reopening of schools, the reactivation of the trade fare, and the freedom of movement.",Frequent and regular hand washing,No public or social gathering
2015-01-09,Bo,Badjia,NA,Grima,NA,NA,NA,"The community members want veronical buckets and chlorine, and when will the Ebola virus end?",No Ebola cases in our community and all sick people have been refered to the health center,No body contact or hand shaking
2015-01-09,Bo,Badjia,NA,Jokibu,0,NA,The use of plastic bags to burrie their love one,All activities be it in the urban or rural have been stopped due to the Ebola virus,More veronical buckets are now available in the commnunity for proper and frequent hand washing,Childern are not allowed to play at night
2015-01-06,Bo,Badjia,NA,Ngeiyewoma,1,Because they donâ€™t want to be infected by the Ebola Virus,NA,That they should obey the bye laws to end the Ebola virus,People are willing to obey the bye laws.,No strangers are allowed to stay in the community
2015-01-07,Bo,Badjia,NA,Njandama,0,NA,Because the burial team donâ€™t wash dead bodies.,The community members expressed dissatisfaction of the current Ebola status in the country and ask when will the Ebola end?,Frequent and proper hand washing,"Only community members should stay in the comminty, no strangers at all."
2015-01-08,Bo,Badjia,NA,Ngumahun,0,NA,The delay of the burial team,The community members want to see Ebola free from Sierra Leone.,Referring all sick people to the health centre,No strangers are allowed to stay in the community
2015-01-09,Bo,Badjia,NA,Jawai,1,The community members are satisfied with the burial team because they donâ€™t want to be infected.,NA,They are more concerned about the end of the Ebola Virus in the country.,Frequent and proper hand washing,All sick people should be reported at the health centre for early treament.
2015-01-07,Bo,Badjia,NA,Njelehun,1,Because the burial team now do pray on their love ones and do know the grave side.,NA,The restriction of movement and the cost of living is very expensive now for them.,The community members have community mobilisers now in order to make sure that the action plan work effectively in the Jawai commuinty.,"Community members are obeying the bye laws in order to end ebola, eg No strangers are allowed to stay in the community"
2015-01-06,Bo,Badjia,NA,Dambala,0,NA,Because the dead bodies are not handle with respect niether care and the bodies are been chlorinated before burried.,Since the number of Ebola cases are on the decrease let the government try to reopen schools.,Effective implementation of the bye laws,No strangers are allowed to stay in the community till Ebola end.
2015-01-08,Bo,Badjia,NA,Njabahun,0,NA,"It was not easy for the community members to adapt to the new system but with the intervention of the mobilisers it has help them greatly, and they now know the grave side of their love ones.",Since the number of Ebola cases are on the decrease  they are appealing to government  to reduce some of the bye laws.,Effective implementation of the bye laws,Refering all sick people to the health centre
2015-01-06,Bo,Badjia,NA,Kpowabu,1,Yes because they want to be free from the Ebola virus.,NA,They want their children to go back to school so they are appealing to the government to reopen schools.,"At first, they were in the habit of hiding sick people. A man in Njagbahun carried a dead body from the health center to Njagbahun and was asked to pay a fine of five hundred thousand leones (le 500,000).","If anyone touch or wash dead body he/she wil pay a fine of five hundred thousand leones (le 500,000)"
2015-01-07,Bo,Badjia,NA,Kebawama,1,Yes because everyone now is an Ebola suspect because you cant tell the status of an individual by a mere look.,NA,The community members said they want to go back to their normal activities such as social gathering and freedom of movement.,The community members referred two girls to the health center who were seriously sick and have been recovered from the illness.,"If anyone is found organising social gathering, playing film show he/she will pay a fine of five hundred thousand leones and will be handed over to the police."
2015-01-08,Bo,Badjia,NA,Jullu,1,"Reason is that, by touching the dead body you might contact the virus if the person is Ebola positive.",NA,Animals are destroying our crops and the government said we should not eat them.,"No strangers are allowed, during the christmas holiday people came from Freetown to spend holiday but immediately they arrived the community members drove them.",Nobody should burried the dead or keep sick people if found he/she will pay the sum of five hunderd thousand leones.
2015-01-09,Bo,Badjia,NA,Pelewahun,1,"Reason been, we donâ€™t want our community to be infected by the Ebola Virus most especially when there is no train and qualified medical personnel in our community.",NA,The most common concern expressed by community members is the reopening of schools.,The biggest change is that the awareness in personal hygine and cleaning of the enviroment.,No commercial vehicle or bike is allowed after 7:00 pm if found wanting the person will pay a fine of five hundred thousand leones.
2015-01-06,Bo,Badjia,NA,Pendembu,1,Because the burial team practice safe and degnified burrial.,NA,"The closure of the sewa river by the chief, this has greatly affected them from getting food.",The misconceptions around Ebola has been corrected with the intervention of the SMAC mobilisers,Nobody should cross the river sewa that shared boundary with Kenema (Sembaru) and Ngelehun Badjia
2015-01-07,Bo,Badjia,NA,Bumpewo,1,Because the burial team practice safe and degnified burrial.,NA,"The closure of the sewa river by the chief, this has greatly affected them from getting food.",The effective implementation of the bye laws,No crossing of the sewa river that shares boundary with Kenema district (Sembaru)
2015-01-08,Bo,Badjia,NA,Pujehun,1,Yes because we as community members donâ€™t want to be infectect by the virus,NA,The most common concern expressed by community members is the when will the Ebola end ,Community members do visit the health center regularly now.,No stangers are allowed to stay in the community
2015-01-15,Bo,Badjia,NA,Jellu,NA,NA,NA,they are really tire of this ebola stuff,All sick people are now going t0o the health center,No body contact
2015-01-14,Bo,Badjia,NA,Kpetema,1,They feel atisfied with the new burial team,NA,The people are greatly concern about the reopennig of schools,The bye-laws are really active and effective in the community,No body contact
2015-01-13,Bo,Badjia,NA,Yorlluhun,1,They feel atisfied with the new burial team,NA,The people are greatly concern about the reopennig of schools,The bye-laws are really active and effective in the community,No public garthering
2015-01-14,Bo,Badjia,NA,Baama,1,They feel atisfied with the new burial team,NA,The government should supply chlorine to the community,There has been a frequent hand washing,No public garthering
2015-01-15,Bo,Badjia,NA,Sembehun,0,NA,The slow responce of the burial team,The reopning of schools so that their children will go back to school,Frequent Hand washing,No strangers are allowed to stay in the community
2015-01-16,Bo,Badjia,NA,Koindu,1,Its make the community to be safe from Ebola,NA,They said they are not visiting their relatives is a major concern,Frequent Hand washing,No public garthering
2015-01-13,Bo,Badjia,NA,Kojehun,1,They feel atisfied with the new burial team,NA,Ebola have cause hardship and shortage of food,There has been a great awereness of ebola in the society and all sick people are visiting the health center,No public garthering
2015-01-14,Bo,Badjia,NA,Madina,NA,NA,NA,they want ebola to end now so that they could go back to their normal business,The bye-laws are really active and effective in the community,No public garthering
2015-01-15,Bo,Badjia,NA,Kpaku,NA,NA,NA,To have a burial team at chiefdom level,The bye-laws are really active and effective in the community,No body contact
2015-01-16,Bo,Badjia,NA,Faala,1,Family members were allowed to pray on the corps ,NA,The reopening of schools,The bye-laws are really active and effective in the community,All burials are handle by the burial team
2015-01-14,Bo,Badjia,NA,Kugbahun,1,They feel atisfied with the new burial team,NA,They want the ebola to end so that things will go back normal,There have been a regural community cleaning,No touching of dead body
2015-09-01,Bo,Bagbe,NA,Ballie,1,it will help them not to contact ebola,NA,They need buckets and soap to wash their hands,People are now going to the health center for test,No eating of bush meat
2015-01-06,Bo,Bagbe,NA,Gbonjema,0,NA,Because there is no respect for the dead by the burial team.,The reopening of schools for their children to go back to school,Regular referals of sick people to the health centre,Refering all sick people to the health centre
2015-01-09,Bo,Bagbe,NA,Njala Kendima,0,NA,Because they did not take proper care of the death.,Asking when schools will reopen.,Community people do abide by the laws.,No strangers are allowed
2015-01-07,Bo,Bagbe,NA,Kondu,1,They buried accordance with the(S.D.M.B),NA,When will Ebola end?,Hand washing is a regular practice.,Avoid body contact
2015-01-06,Bo,Bagbo,NA,Momajoe,1,Prevent from them,NA,That Restless Development should provide credict for  the champoin.,The  burial team are really coparating.,No stranger is allowed to enter their commnitiy with pass/ID card.
2015-01-08,Bo,Bagbo,NA,Maniwa,1,To iradicate Ebola in our country,NA,"They want Ebola to end in sierra Leone, and school to reopen now.",The community are really working to toward the by-law.,NA
2015-01-07,Bo,Bagbo,NA,Folla,1,Yes because this will help to pevent them.,NA,Restlees should provide phone for the village champion.,Sick people now report to health center for themsevels.,No new byelaws have been developed by community.
2015-01-09,Bo,Bagbo,NA,Mokebay ,1,Avoid the spread of the virus,NA,They want to see Ebola come to an END.,"They are afraid to against the bye-laws in the community,",No new byelaws have been developed by community.
2015-01-06,Bo,Bagbo,NA,Madina,1,It prevent them forbthe virus.,NA,NA,NA,NA
2015-01-08,Bo,Bagbo,NA,Mano Yorgbo,NA,NA,NA,"No Freedom of movement, Because of ebola.",The community people are happy about improvmnt in the burial activity.,"No accommodation of strangers, Frequent hand washing No community burial Issolation of sick person"
2015-01-09,Bo,Bagbo,NA,Mondorkor,NA,NA,NA,"No Freedom of movement,to the other neibouring community ,No business for livelihood.",They are happ with the Burial practices as they are now allowed to dress or coffen their dead ones.,"No accommodation of strangers, Frequent hand washing No community burial Issolation of sick person"
2015-01-06,Bo,Bagbo,NA,Tokpombu,1,proper burial practices.,NA,The importance of bye laws and the practice of the safe measures have drastically occure in the reduction of new cases of ebola.,NA,"No accommodation of strangers, Frequent hand washing No community burial Issolation of sick person or to pay a fine of five hunderd thousand leones."
2015-01-08,Bo,Bagbo,NA,Dandabu,NA,NA,NA,To see school reopen at the end of January,Acceptance and practice of the actio plan.,NA
2015-01-09,Bo,Bagbo,NA,Bum Kaku,NA,NA,NA,NA,The hand washing method  is the bigest chang in thecomunity.,No new bye law developed
2015-01-07,Bo,Bagbo,NA,Kenema,1,The body was handle with care and respect,NA,To want to when school will reoped,The community practice the action plan,No new bye law developed
2015-01-06,Bo,Bagbo,NA,Tokpombu 2,1,Because the community were allowed to pray on their corps from a distances.,NA,If there is medication for Ebola. And after ebola they can eat bush meat,All burials in the community was conducted by the burial team.,Check points  for ebola screening implemented all death and sick people are reported to Ebola committee.
2015-01-07,Bo,Bagbo,NA,Gbaleh,1,They are happy because they can paticipate in the burial activities.,NA,When School are going to re open.,The implementation of bye law.,"No accommodation of strangers, Implemented Ebola check points Implmented"
